2026-08-23 05:42:05 install libssl3t64:amd64 <none> 3.5.6-1~deb13u2
2026-08-23 05:42:05 status half-installed libssl3t64:amd64 3.5.6-1~deb13u2
2026-08-23 05:42:05 status unpacked libssl3t64:amd64 3.5.6-1~deb13u2
2026-08-23 05:42:05 install libstdc++6:amd64 <none> 14.2.0-19
2026-08-23 05:42:05 status half-installed libstdc++6:amd64 14.2.0-19
2026-08-23 05:42:05 status unpacked libstdc++6:amd64 14.2.0-19
2026-08-23 05:42:05 install libcap2:amd64 <none> 1:2.75-10+deb13u1+b1
2026-08-23 05:42:05 status half-installed libcap2:amd64 1:2.75-10+deb13u1+b1
2026-08-23 05:42:05 status unpacked libcap2:amd64 1:2.75-10+deb13u1+b1
2026-08-23 05:42:05 install libapt-pkg7.0:amd64 <none> 3.0.3
2026-08-23 05:42:05 status half-installed libapt-pkg7.0:amd64 3.0.3
2026-08-23 05:42:05 status unpacked libapt-pkg7.0:amd64 3.0.3
2026-08-23 05:42:05 install debian-archive-keyring:all <none> 2025.1
2026-08-23 05:42:05 status half-installed debian-archive-keyring:all 2025.1
2026-08-23 05:42:05 status unpacked debian-archive-keyring:all 2025.1
2026-08-23 05:42:05 install libseccomp2:amd64 <none> 2.6.0-2
2026-08-23 05:42:05 status half-installed libseccomp2:amd64 2.6.0-2
2026-08-23 05:42:05 status unpacked libseccomp2:amd64 2.6.0-2
2026-08-23 05:42:05 install libcrypt1:amd64 <none> 1:4.4.38-1
2026-08-23 05:42:05 status half-installed libcrypt1:amd64 1:4.4.38-1
2026-08-23 05:42:05 status unpacked libcrypt1:amd64 1:4.4.38-1
2026-08-23 05:42:05 upgrade debconf:all 1.5.91 1.5.91
2026-08-23 05:42:05 status half-configured debconf:all 1.5.91
2026-08-23 05:42:05 status unpacked debconf:all 1.5.91
2026-08-23 05:42:05 status half-installed debconf:all 1.5.91
2026-08-23 05:42:06 status unpacked debconf:all 1.5.91
2026-08-23 05:42:06 upgrade base-passwd:amd64 3.6.7 3.6.7
2026-08-23 05:42:06 status half-configured base-passwd:amd64 3.6.7
2026-08-23 05:42:06 status unpacked base-passwd:amd64 3.6.7
2026-08-23 05:42:06 status half-installed base-passwd:amd64 3.6.7
2026-08-23 05:42:06 status unpacked base-passwd:amd64 3.6.7
2026-08-23 05:42:06 install apt:amd64 <none> 3.0.3
2026-08-23 05:42:06 status half-installed apt:amd64 3.0.3
2026-08-23 05:42:06 status unpacked apt:amd64 3.0.3
2026-08-23 05:42:06 upgrade base-files:amd64 13.8+deb13u6 13.8+deb13u6
2026-08-23 05:42:06 status half-configured base-files:amd64 13.8+deb13u6
2026-08-23 05:42:06 status unpacked base-files:amd64 13.8+deb13u6
2026-08-23 05:42:06 status half-installed base-files:amd64 13.8+deb13u6
2026-08-23 05:42:06 status unpacked base-files:amd64 13.8+deb13u6
2026-08-23 05:42:06 install debianutils:amd64 <none> 5.23.2
2026-08-23 05:42:06 status half-installed debianutils:amd64 5.23.2
2026-08-23 05:42:06 status unpacked debianutils:amd64 5.23.2
2026-08-23 05:42:06 install bash:amd64 <none> 5.2.37-2+b9
2026-08-23 05:42:06 status half-installed bash:amd64 5.2.37-2+b9
2026-08-23 05:42:06 status unpacked bash:amd64 5.2.37-2+b9
2026-08-23 05:42:06 install libsmartcols1:amd64 <none> 2.41-5
2026-08-23 05:42:06 status half-installed libsmartcols1:amd64 2.41-5
2026-08-23 05:42:06 status unpacked libsmartcols1:amd64 2.41-5
2026-08-23 05:42:06 install bsdutils:amd64 <none> 1:2.41-5
2026-08-23 05:42:06 status half-installed bsdutils:amd64 1:2.41-5
2026-08-23 05:42:06 status unpacked bsdutils:amd64 1:2.41-5
2026-08-23 05:42:06 install libacl1:amd64 <none> 2.3.2-2+b1
2026-08-23 05:42:06 status half-installed libacl1:amd64 2.3.2-2+b1
2026-08-23 05:42:06 status unpacked libacl1:amd64 2.3.2-2+b1
2026-08-23 05:42:06 install libattr1:amd64 <none> 1:2.5.2-3
2026-08-23 05:42:06 status half-installed libattr1:amd64 1:2.5.2-3
2026-08-23 05:42:06 status unpacked libattr1:amd64 1:2.5.2-3
2026-08-23 05:42:06 install coreutils:amd64 <none> 9.7-3
2026-08-23 05:42:06 status half-installed coreutils:amd64 9.7-3
2026-08-23 05:42:06 status unpacked coreutils:amd64 9.7-3
2026-08-23 05:42:06 install dash:amd64 <none> 0.5.12-12
2026-08-23 05:42:06 status half-installed dash:amd64 0.5.12-12
2026-08-23 05:42:06 status unpacked dash:amd64 0.5.12-12
2026-08-23 05:42:06 install diffutils:amd64 <none> 1:3.10-4
2026-08-23 05:42:06 status half-installed diffutils:amd64 1:3.10-4
2026-08-23 05:42:06 status unpacked diffutils:amd64 1:3.10-4
2026-08-23 05:42:06 install libmd0:amd64 <none> 1.1.0-2+b1
2026-08-23 05:42:06 status half-installed libmd0:amd64 1.1.0-2+b1
2026-08-23 05:42:06 status unpacked libmd0:amd64 1.1.0-2+b1
2026-08-23 05:42:06 upgrade dpkg:amd64 1.22.22 1.22.22
2026-08-23 05:42:06 status half-configured dpkg:amd64 1.22.22
2026-08-23 05:42:06 status unpacked dpkg:amd64 1.22.22
2026-08-23 05:42:06 status half-installed dpkg:amd64 1.22.22
2026-08-23 05:42:06 status unpacked dpkg:amd64 1.22.22
2026-08-23 05:42:06 install findutils:amd64 <none> 4.10.0-3
2026-08-23 05:42:06 status half-installed findutils:amd64 4.10.0-3
2026-08-23 05:42:07 status unpacked findutils:amd64 4.10.0-3
2026-08-23 05:42:07 install grep:amd64 <none> 3.11-4
2026-08-23 05:42:07 status half-installed grep:amd64 3.11-4
2026-08-23 05:42:07 status unpacked grep:amd64 3.11-4
2026-08-23 05:42:07 install gzip:amd64 <none> 1.13-1
2026-08-23 05:42:07 status half-installed gzip:amd64 1.13-1
2026-08-23 05:42:07 status unpacked gzip:amd64 1.13-1
2026-08-23 05:42:07 install hostname:amd64 <none> 3.25
2026-08-23 05:42:07 status half-installed hostname:amd64 3.25
2026-08-23 05:42:07 status unpacked hostname:amd64 3.25
2026-08-23 05:42:07 install init-system-helpers:all <none> 1.69~deb13u1
2026-08-23 05:42:07 status half-installed init-system-helpers:all 1.69~deb13u1
2026-08-23 05:42:07 status unpacked init-system-helpers:all 1.69~deb13u1
2026-08-23 05:42:07 install libaudit-common:all <none> 1:4.0.2-2
2026-08-23 05:42:07 status half-installed libaudit-common:all 1:4.0.2-2
2026-08-23 05:42:07 status unpacked libaudit-common:all 1:4.0.2-2
2026-08-23 05:42:07 install libcap-ng0:amd64 <none> 0.8.5-4+b1
2026-08-23 05:42:07 status half-installed libcap-ng0:amd64 0.8.5-4+b1
2026-08-23 05:42:07 status unpacked libcap-ng0:amd64 0.8.5-4+b1
2026-08-23 05:42:07 install libaudit1:amd64 <none> 1:4.0.2-2+b2
2026-08-23 05:42:07 status half-installed libaudit1:amd64 1:4.0.2-2+b2
2026-08-23 05:42:07 status unpacked libaudit1:amd64 1:4.0.2-2+b2
2026-08-23 05:42:07 install libblkid1:amd64 <none> 2.41-5
